000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000;  
060,060,0F0,0F0,0F0,0F0,0F0,060,060,060,000,000,060,060,000,000; !
000,000,198,198,198,198,000,000,000,000,000,000,000,000,000,000; "
000,066,066,066,3FF,0CC,0CC,198,198,7FC,330,330,330,000,000,000; #
060,060,1F8,3FC,360,360,3F8,1FC,06C,06C,3FC,1F8,060,060,000,000; 
000,000,001,383,387,38E,01C,038,070,0E0,1C0,38E,70E,60E,000,000; %
000,070,0D8,198,198,1B0,0E0,1E0,3E0,336,33C,318,3BC,1E6,000,000; &
0E0,0E0,0E0,060,060,0C0,000,000,000,000,000,000,000,000,000,000; '
038,060,0E0,0C0,1C0,1C0,1C0,1C0,1C0,1C0,0C0,0E0,060,038,000,000; (
1C0,060,070,030,038,038,038,038,038,038,030,070,060,1C0,000,000; )
000,000,000,36C,36C,1F8,0F0,3FC,0F0,1F8,36C,36C,000,000,000,000; *
000,000,000,000,060,060,060,3FC,3FC,060,060,060,000,000,000,000; +
000,000,000,000,000,000,000,000,000,000,000,0E0,0E0,0E0,060,0C0; ,
000,000,000,000,000,000,000,3FC,3FC,000,000,000,000,000,000,000; -
000,000,000,000,000,000,000,000,000,000,000,0E0,0E0,0E0,000,000; .
000,001,003,007,00E,01C,038,070,0E0,1C0,380,700,600,000,000,000; /
0F8,3FE,306,607,60F,61B,633,663,6C3,783,703,306,3FE,0F8,000,000; 0
030,070,1F0,1F0,030,030,030,030,030,030,030,030,1FE,1FE,000,000; 1
1FC,3FE,707,603,607,00E,01C,038,070,0E0,1C0,380,7FF,7FF,000,000; 2
1FC,3FE,707,603,003,007,0FE,0FC,006,003,603,707,3FE,1FC,000,000; 3
01C,03C,07C,0EC,1CC,38C,70C,60C,7FF,7FF,00C,00C,00C,00C,000,000; 4
7FF,7FF,600,600,600,7FC,3FE,007,003,003,603,707,3FE,1FC,000,000; 5
03C,07C,0E0,1C0,380,300,7FC,7FE,707,603,603,707,3FE,1FC,000,000; 6
7FF,7FF,006,006,00C,00C,018,018,030,030,060,060,0C0,0C0,000,000; 7
0F8,1FC,38E,306,306,38E,1FC,3FE,707,603,603,707,3FE,1FC,000,000; 8
1FC,3FE,707,603,603,707,3FF,1FF,006,00E,01C,038,1F0,1E0,000,000; 9
000,000,000,000,0E0,0E0,0E0,000,000,000,0E0,0E0,0E0,000,000,000; :
000,000,000,000,0E0,0E0,0E0,000,000,000,0E0,0E0,0E0,060,060,0C0; ;
00C,01C,038,070,0E0,1C0,380,380,1C0,0E0,070,038,01C,00C,000,000; <
000,000,000,000,000,3FE,3FE,000,000,3FE,3FE,000,000,000,000,000; =
300,380,1C0,0E0,070,038,01C,01C,038,070,0E0,1C0,380,300,000,000; >
1F8,3FC,70E,606,60E,01C,038,070,060,060,060,000,060,060,000,000; ?
